Date,Firm,To Grade,From Grade,Action,stock_symbol
2018-10-31 15:17:53,Raymond James,Outperform,Outperform,main,FB
2018-10-31 16:46:37,Morgan Stanley,Overweight,Overweight,main,FB
2018-11-01 15:19:28,Argus,Buy,Buy,main,FB
2018-12-06 11:49:17,Stifel Nicolaus,Hold,Buy,down,FB
2018-12-06 12:55:33,Guggenheim,Neutral,,init,FB
2018-12-20 21:23:09,Tigress Financial,Buy,Buy,reit,FB
2019-01-31 12:14:16,Morgan Stanley,Overweight,Overweight,main,FB
2019-01-31 12:16:11,Canaccord Genuity,Buy,Buy,main,FB
2019-01-31 12:18:42,Deutsche Bank,Buy,Buy,main,FB
2019-01-31 12:40:31,Nomura,Neutral,Neutral,main,FB
2019-01-31 15:39:06,Raymond James,Outperform,Outperform,main,FB
2019-03-11 10:38:58,Nomura,Buy,Neutral,up,FB
2019-03-18 12:01:32,Needham,Hold,Buy,down,FB
2019-03-18 12:15:02,Bank of America,Buy,Buy,reit,FB
2019-04-04 11:13:51,Guggenheim,Buy,Neutral,up,FB
2019-04-09 12:43:36,Morgan Stanley,Overweight,Overweight,main,FB
2019-04-25 10:22:58,UBS,Buy,Neutral,up,FB
2019-04-25 12:01:36,Wedbush,Outperform,Outperform,main,FB
2019-04-25 12:16:05,KeyBanc,Overweight,Overweight,main,FB
2019-04-25 12:29:02,Canaccord Genuity,Buy,Buy,main,FB
2019-04-25 12:56:22,Morgan Stanley,Overweight,Overweight,main,FB
2019-04-25 13:17:19,Deutsche Bank,Buy,Buy,main,FB
2019-04-25 13:40:23,Barclays,Overweight,Overweight,main,FB
2019-04-25 14:43:11,BMO Capital,Market Perform,Market Perform,main,FB
2019-04-25 15:16:32,Nomura,Buy,Buy,main,FB
2019-04-25 15:37:20,JMP Securities,Market Outperform,Market Outperform,main,FB
2019-04-25 15:43:50,Raymond James,Outperform,Outperform,main,FB
2019-04-26 16:03:39,Argus Research,Buy,Buy,main,FB
2019-04-30 10:25:52,DZ Bank,Buy,Hold,up,FB
2019-05-29 12:14:51,Pivotal Research,Buy,,init,FB
2019-06-11 12:46:40,Moffett Nathanson,Buy,Neutral,up,FB
2019-06-27 13:35:50,Deutsche Bank,Buy,,main,FB
2019-07-25 10:07:32,KeyBanc,Overweight,,main,FB
2019-07-25 10:54:00,Deutsche Bank,Buy,,main,FB
2019-07-25 10:55:30,Citi,Buy,,main,FB
2019-07-25 11:29:08,Jefferies,Buy,,main,FB
2019-07-25 11:35:49,Nomura,Buy,,main,FB
2019-07-25 12:00:31,Morgan Stanley,Overweight,,main,FB
2019-07-25 12:09:05,Canaccord Genuity,Buy,,main,FB
2019-07-25 12:29:13,Credit Suisse,Outperform,,main,FB
2019-07-25 12:31:00,Mizuho,Buy,,main,FB
2019-07-25 12:36:25,Monness Crespi Hardt,Buy,,main,FB
2019-07-25 12:58:40,Baird,Outperform,,main,FB
2019-09-27 14:21:34,Summit Insights Group,Buy,,init,FB
2019-10-28 13:49:48,Stifel Nicolaus,Hold,,main,FB
2019-10-29 12:44:40,Credit Suisse,Outperform,,main,FB
2019-10-31 11:37:02,Nomura,Buy,,main,FB
2019-10-31 11:43:39,Morgan Stanley,Overweight,,main,FB
2019-10-31 11:50:20,UBS,Buy,,main,FB
2019-10-31 12:42:47,Wedbush,Outperform,,main,FB
2019-10-31 12:44:17,Credit Suisse,Outperform,,main,FB
2019-10-31 12:45:33,SunTrust Robinson Humphrey,Buy,,main,FB
2019-10-31 12:46:36,BMO Capital,Market Perform,,main,FB
2019-10-31 12:47:52,Mizuho,Buy,,main,FB
2019-10-31 12:48:59,Barclays,Overweight,,main,FB
2019-10-31 12:53:58,Stifel Nicolaus,Hold,,main,FB
2019-11-05 12:20:52,Daiwa Capital,Buy,Outperform,up,FB
2019-12-03 11:28:03,Piper Jaffray,Overweight,,init,FB
